id,date,product,category,quantity_sold,revenue,profit
CA-2016-152156,11/8/2016,Bookcases,Furniture,2,261.96,41.9136
CA-2016-152156,11/8/2016,Chairs,Furniture,3,731.94,219.582
CA-2016-138688,6/12/2016,Labels,Office Supplies,2,14.62,6.8714
US-2015-108966,10/11/2015,Tables,Furniture,5,957.5775,-383.031
US-2015-108966,10/11/2015,Storage,Office Supplies,2,22.368,2.5164
CA-2014-115812,6/9/2014,Furnishings,Furniture,7,48.86,14.1694
CA-2014-115812,6/9/2014,Art,Office Supplies,4,7.28,1.9656
CA-2014-115812,6/9/2014,Phones,Technology,6,907.152,90.7152
CA-2014-115812,6/9/2014,Binders,Office Supplies,3,18.504,5.7825
CA-2014-115812,6/9/2014,Appliances,Office Supplies,5,114.9,34.47
CA-2014-115812,6/9/2014,Tables,Furniture,9,1706.184,85.3092
CA-2014-115812,6/9/2014,Phones,Technology,4,911.424,68.3568
CA-2017-114412,4/15/2017,Paper,Office Supplies,3,15.552,5.4432
CA-2016-161389,12/5/2016,Binders,Office Supplies,3,407.976,132.5922
US-2015-118983,11/22/2015,Appliances,Office Supplies,5,68.81,-123.858
US-2015-118983,11/22/2015,Binders,Office Supplies,3,2.544,-3.816
CA-2014-105893,11/11/2014,Storage,Office Supplies,6,665.88,13.3176
CA-2014-167164,5/13/2014,Storage,Office Supplies,2,55.5,9.99
CA-2014-143336,8/27/2014,Art,Office Supplies,2,8.56,2.4824
CA-2014-143336,8/27/2014,Phones,Technology,3,213.48,16.011
CA-2014-143336,8/27/2014,Binders,Office Supplies,4,22.72,7.384
CA-2016-137330,12/9/2016,Art,Office Supplies,7,19.46,5.0596
CA-2016-137330,12/9/2016,Appliances,Office Supplies,7,60.34,15.6884
US-2017-156909,7/16/2017,Chairs,Furniture,2,71.372,-1.0196
CA-2015-106320,9/25/2015,Tables,Furniture,3,1044.63,240.2649
CA-2016-121755,1/16/2016,Binders,Office Supplies,2,11.648,4.2224
CA-2016-121755,1/16/2016,Accessories,Technology,3,90.57,11.7741
US-2015-150630,9/17/2015,Bookcases,Furniture,7,3083.43,-1665.0522
US-2015-150630,9/17/2015,Binders,Office Supplies,2,9.618,-7.0532
US-2015-150630,9/17/2015,Furnishings,Furniture,3,124.2,15.525
US-2015-150630,9/17/2015,Envelopes,Office Supplies,2,3.264,1.1016
US-2015-150630,9/17/2015,Art,Office Supplies,6,86.304,9.7092
US-2015-150630,9/17/2015,Binders,Office Supplies,6,6.858,-5.715
US-2015-150630,9/17/2015,Art,Office Supplies,2,15.76,3.546
CA-2017-107727,10/19/2017,Paper,Office Supplies,3,29.472,9.9468
CA-2016-117590,12/8/2016,Phones,Technology,7,1097.544,123.4737
CA-2016-117590,12/8/2016,Furnishings,Furniture,5,190.92,-147.963
CA-2015-117415,12/27/2015,Envelopes,Office Supplies,9,113.328,35.415
CA-2015-117415,12/27/2015,Bookcases,Furniture,3,532.3992,-46.9764
CA-2015-117415,12/27/2015,Chairs,Furniture,3,212.058,-15.147
CA-2015-117415,12/27/2015,Phones,Technology,4,371.168,41.7564
CA-2017-120999,9/10/2017,Phones,Technology,4,147.168,16.5564
CA-2016-101343,7/17/2016,Storage,Office Supplies,2,77.88,3.894
CA-2017-139619,9/19/2017,Storage,Office Supplies,2,95.616,9.5616
CA-2016-118255,3/11/2016,Accessories,Technology,2,45.98,19.7714
CA-2016-118255,3/11/2016,Binders,Office Supplies,2,17.46,8.2062
CA-2014-146703,10/20/2014,Storage,Office Supplies,4,211.96,8.4784
CA-2016-169194,6/20/2016,Accessories,Technology,3,45.0,4.95
CA-2016-169194,6/20/2016,Phones,Technology,2,21.8,6.104
CA-2015-115742,4/18/2015,Binders,Office Supplies,6,38.22,17.9634
CA-2015-115742,4/18/2015,Labels,Office Supplies,6,75.18,35.3346
CA-2015-115742,4/18/2015,Furnishings,Furniture,2,6.16,2.9568
CA-2015-115742,4/18/2015,Chairs,Furniture,1,89.99,17.0981
CA-2016-105816,12/11/2016,Fasteners,Office Supplies,7,15.26,6.2566
CA-2016-105816,12/11/2016,Phones,Technology,5,1029.95,298.6855
CA-2016-111682,6/17/2016,Storage,Office Supplies,6,208.56,52.14
CA-2016-111682,6/17/2016,Paper,Office Supplies,5,32.4,15.552
CA-2016-111682,6/17/2016,Chairs,Furniture,5,319.41,7.098
CA-2016-111682,6/17/2016,Paper,Office Supplies,2,14.56,6.9888
CA-2016-111682,6/17/2016,Accessories,Technology,2,30.0,3.3
CA-2016-111682,6/17/2016,Binders,Office Supplies,4,48.48,16.362
CA-2016-111682,6/17/2016,Art,Office Supplies,1,1.68,0.84
CA-2015-135545,11/24/2015,Accessories,Technology,2,13.98,6.1512
CA-2015-135545,11/24/2015,Binders,Office Supplies,6,25.824,9.3612
CA-2015-135545,11/24/2015,Paper,Office Supplies,3,146.73,68.9631
CA-2015-135545,11/24/2015,Furnishings,Furniture,4,79.76,22.3328
US-2015-164175,4/30/2015,Chairs,Furniture,5,213.115,-15.2225
CA-2014-106376,12/5/2014,Art,Office Supplies,8,1113.024,111.3024
CA-2014-106376,12/5/2014,Phones,Technology,4,167.968,62.988
CA-2016-119823,6/4/2016,Paper,Office Supplies,2,75.88,35.6636
CA-2016-106075,9/18/2016,Binders,Office Supplies,1,4.616,1.731
CA-2017-114440,9/14/2017,Paper,Office Supplies,3,19.05,8.763
US-2015-134026,4/26/2015,Chairs,Furniture,8,831.936,-114.3912
US-2015-134026,4/26/2015,Furnishings,Furniture,2,97.04,1.213
US-2015-134026,4/26/2015,Storage,Office Supplies,1,72.784,-18.196
US-2017-118038,12/9/2017,Binders,Office Supplies,3,1.248,-1.9344
US-2017-118038,12/9/2017,Furnishings,Furniture,3,9.708,-5.8248
US-2017-118038,12/9/2017,Storage,Office Supplies,3,27.24,2.724
US-2014-147606,11/26/2014,Furnishings,Furniture,5,19.3,-14.475
CA-2016-127208,6/12/2016,Appliances,Office Supplies,1,208.16,56.2032
CA-2016-127208,6/12/2016,Binders,Office Supplies,3,16.74,8.0352
CA-2014-139451,10/12/2014,Art,Office Supplies,5,14.9,4.172
CA-2014-139451,10/12/2014,Storage,Office Supplies,1,21.39,6.2031
CA-2015-149734,9/3/2015,Envelopes,Office Supplies,7,200.984,62.8075
US-2017-119662,11/13/2017,Storage,Office Supplies,3,230.376,-48.9549
